#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BD37	HG03927	HG03926	HG03925	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BD38	HG03930	HG03929	HG03928	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB36890.698	PRJEB31736.2504	f
BD42	HG03942	HG03941	HG03940	1	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BD50	HG04151	HG04149	HG04150	2	BEB	SAS	0	1	0	0	PRJEB36890.698	PRJEB36890.698	PRJEB36890.698	f
PK23	HG02726	HG02724	HG02725	2	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PK38	HG03230	HG03228	HG03229	2	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PK40	HG03236	HG03234	HG03235	2	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PK43	HG03492	HG03490	HG03491	1	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
PK52	HG03651	HG03649	HG03650	1	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	m
PK53	HG03654	HG03652	HG03653	1	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
PK58	HG03669	HG03667	HG03668	2	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PK63	HG03763	HG03761	HG03762	1	PJL	SAS	0	1	0	0	PRJEB36890.698	PRJEB36890.698	PRJEB31736.2504	m
