#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BB55	HG02485	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB56	HG02511	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB57	HG02496	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB57	HG02497	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB58	HG02501	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB58	HG02502	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB59	HG02505	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB60	HG02508	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB61	HG02536	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB61	HG02537	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB63	HG02541	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB64	HG02545	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB64	HG02546	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB65	HG02549	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB67	HG02554	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB67	HG02555	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB68	HG02557	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB68	HG02558	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB69	HG02577	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB70	HG02580	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2357	NA19625	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2357a	NA20274	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2367	NA19700	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2367	NA19701	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2367	NA19702	NA19700	NA19701	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2368	NA19703	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2368	NA19704	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2368	NA19705	NA19703	NA19704	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2369	NA19707	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2371	NA19711	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2371	NA19712	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2418	NA19818	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2418	NA19819	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2418	NA19828	NA19818	NA19819	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2424	NA19834	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2424	NA19835	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2424	NA19836	NA19834	NA19835	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2425	NA19900	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2425	NA19901	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2425	NA19902	NA19900	NA19901	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2426	NA19904	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2426a	NA19913	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2427	NA19908	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2427	NA19909	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2427	NA19919	NA19908	NA19909	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2430	NA19914	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2431	NA19916	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2431	NA19917	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2431	NA19918	NA19916	NA19917	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2433	NA19920	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2433	NA19921	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2433	NA20129	NA19920	NA19921	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2434	NA19922	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2434	NA19923	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2434	NA19924	NA19922	NA19923	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2436	NA19713	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2436	NA19982	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2436	NA19983	NA19982	NA19713	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2437a	NA19984	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
